«1856-0000»,【 カンマ区切りテキスト形式です。】
«1856-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1856-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1856-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1856-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1856-0050»,【 外部リンク　】
«1856-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/29 ～ 37】
«1856-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1856h　(翻刻編集終了データを表成型して表示します)】
«1856-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1856ht (翻刻編集中データを表成型して表示します)】
«1856-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1856-0100»,«版元»,出版地○○,出版元□□□,　
«1856-0110»,«暦首»,安政三年ひのえたつ乃天保壬寅元暦,鬼宿|値年,凡三百五十五日
«1856-0120»,«大歳»,大さいたつの方,此方ニむかひて万よし|但木をきらす
«1856-0130»,«大將軍»,大しやうくんねの方,たつのとしまて|三年ふさかり
«1856-0140»,«大陰»,大おんとらの方,此方ニむかひて|さんをせす
«1856-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうしとら|,金神,|うむまひつし
«1856-0160»,«歳刑»,さいけうたつの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1856-0170»,«歳破»,さいはいぬの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月小
«1856-0180»,«歳煞»,さいせつひつしの方,此方より|よめとらす,四月大,五月小,六月大
«1856-0190»,«黄幡»,わうはんたつの方,むかひて|弓はしめよし,七月小,八月大,九月大
«1856-0200»,«豹尾»,へうひいぬの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月小,十二月大
«1856-0210»,«月序»,正月,大,建,庚寅,心宿値月壁宿水曜値朔日
«1856-1060»,«暦日0»,十八〳,きのとのい,あやふ,,　,●
«1856-1070»,«暦日2»,十九〳,ひのえね,なる,水,　,きこ
«1856-1080»,«暦日0»,廿〳,ひのとのうし,おさん,,　,十し
«1856-1090»,«暦日2»,廿一〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1856-1100»,«暦日0»,廿二〳,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
«1856-1110»,«暦日2»,廿三〳,かのえたつ,たつ,金,　,くゑ日
«1856-1120»,«暦日0»,廿四〳,かのとのみ,のそく,,　,天おん 母倉 ちう日
«1856-1130»,«暦日2»,廿五〳,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1856-1140»,«暦日0»,廿六〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1856-1150»,«暦日2»,廿七〳,きのえさる,さたん,水,八十八や|十方くれニ入,大みやう くゑ日
«1856-1160»,«暦日0»,廿八〳,きのとのとり,とる,,　,神よし  くさかりよし
«1856-1170»,«暦日1»,廿九〳,ひのえいぬ,やふる,土,　,五む日
«1856-1180»,«月序»,四月,大,建,癸巳,斗宿　昴　日よう
«1856-1190»,«暦日1»,一〳,ひのとのい,あやふ,土,　,●
«1856-1200»,«暦日1»,二〳,つちのえね,あやふ,火,　, けんふくよし
«1856-1210»,«節中»,立夏四月せつ夕七時三分ニ入日の出より日入まて,昼五十六刻半|夜四十三刻半,六より六まて,昼六十二刻|夜三十八刻
«1856-1220»,«暦日1»,三〳,つちのとのうし,なる,火,　,きこ  つめとりよし
«1856-1230»,«暦日2»,四〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1856-1240»,«暦日0»,五〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
«1856-1250»,«暦日2»,六〳,みつのえたつ,とつ,水,　,きしく 大みやう 五む日 ふく日
«1856-1260»,«暦日0»,七〳,みつのとのみ,たつ,,天一天上,●
«1856-1270»,«暦日2»,八〳,きのえむま,のそく,金,　,天しや よろつよし
«1856-1280»,«暦日0»,九〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日 わうまう
«1856-1290»,«暦日2»,十〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1856-1300»,«暦日0»,十一〳,ひのとのとり,さたん,,　,十し
«1856-1310»,«暦日2»,十二〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1856-1320»,«暦日0»,十三〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1856-1330»,«暦日2»,十四〳,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
«1856-1340»,«暦日0»,十五〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1856-1350»,«暦日2»,十六〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1856-1360»,«暦日0»,十七〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
«1856-1370»,«暦日1»,十八〳,きのえたつ,とつ,火,　,大みやう
«1856-1380»,«節中»,小満四月中朝五時一分日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1856-1390»,«暦日1»,十九〳,きのとのみ,たつ,火,　,●
«1856-1400»,«暦日2»,廿〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1856-1410»,«暦日0»,廿一〳,ひのとのひつし,みつ,,　,くゑ日
«1856-1420»,«暦日2»,廿二〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1856-1430»,«暦日0»,廿三〳,つちのとのとり,さたん,,　,十し
«1856-1440»,«暦日2»,廿四〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1856-1450»,«暦日0»,廿五〳,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
«1856-1460»,«暦日2»,廿六〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1856-1470»,«暦日0»,廿七〳,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
«1856-1480»,«暦日2»,廿八〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1856-1490»,«暦日0»,廿九〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
«1856-1500»,«暦日1»,卅〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1856-1510»,«月序»,五月,小,建,甲午,牛宿　觜　火よう
«1856-1520»,«暦日1»,一〳,ひのとのみ,たつ,土,　,●
«1856-1530»,«暦日2»,二〳,つちのえむま,のそく,火,ま日,くゑ日
«1856-1540»,«暦日0»,三〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1856-1550»,«節中»,芒種五月せつ夜四時ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1856-1560»,«暦日2»,四〳,かのえさる,みつ,木,　,神よし きしく 大みやう  入学 むきかりよし
«1856-1570»,«暦日0»,五〳,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
«1856-1580»,«暦日2»,六〳,みつのえいぬ,さたん,水,入梅|ま日, むきかりよし
«1856-1590»,«暦日0»,七〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1856-1600»,«暦日2»,八〳,きのえね,やふる,金,　,●
«1856-1610»,«暦日0»,九〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
«1856-1620»,«暦日2»,十〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1856-1630»,«暦日0»,十一〳,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
«1856-1640»,«暦日2»,十二〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1856-1650»,«暦日0»,十三〳,つちのとのみ,とつ,,　,十し
«1856-1660»,«暦日2»,十四〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1856-1670»,«暦日0»,十五〳,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
«1856-1680»,«暦日2»,十六〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1856-1690»,«暦日0»,十七〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1856-1700»,«暦日2»,十八〳,きのえいぬ,さたん,火,　,わうまう  わたまし くらたてよし
«1856-1710»,«暦日0»,十九〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1856-1720»,«節中»,夏至五月中昼八時三分日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1856-1730»,«暦日2»,廿〳,ひのえね,やふる,水,　,●
«1856-1740»,«暦日0»,廿一〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1856-1750»,«暦日2»,廿二〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1856-1760»,«暦日0»,廿三〳,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
«1856-1770»,«暦日2»,廿四〳,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
«1856-1780»,«暦日0»,廿五〳,かのとのみ,とつ,,　,十し
«1856-1790»,«暦日2»,廿六〳,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
«1856-1800»,«暦日0»,廿七〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1856-1810»,«暦日2»,廿八〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1856-1820»,«暦日0»,廿九〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1856-1830»,«月序»,六月,大,建,乙未,女宿　參　水よう
«1856-1840»,«暦日2»,一〳,ひのえいぬ,さたん,土,はんけしやう,月とく 五む日  むきかりよし
«1856-1850»,«暦日0»,二〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1856-1860»,«暦日2»,三〳,つちのえね,やふる,火,　,●
«1856-1870»,«暦日0»,四〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1856-1880»,«暦日2»,五〳,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
«1856-1890»,«暦日0»,六〳,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1856-1900»,«節中»,小暑六月せつ朝五時九分ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1856-1910»,«暦日2»,七〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1856-1920»,«暦日0»,八〳,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
«1856-1930»,«暦日2»,九〳,きのえむま,とつ,金,　,●
«1856-1940»,«暦日0»,十〳,きのとのひつし,たつ,,　,大みやう 五む日
«1856-1950»,«暦日2»,十一〳,ひのえさる,のそく,火,　,神よし
«1856-1960»,«暦日0»,十二〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1856-1970»,«暦日2»,十三〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1856-1980»,«暦日0»,十四〳,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
«1856-1990»,«暦日2»,十五〳,かのえね,とる,土,初伏,きこ 下しきたつの時
«1856-2000»,«暦日0»,十六〳,かのとのうし,やふる,,　,十し
«1856-2010»,«暦日2»,十七〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1856-2020»,«暦日0»,十八〳,みつのとのう,なる,,とよう昼九時七分ニ入,神よし 天火 らうしやく
«1856-2030»,«暦日2»,十九〳,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
«1856-2040»,«暦日0»,廿〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1856-2050»,«暦日2»,廿一〳,ひのえむま,とつ,水,　,●
«1856-2060»,«暦日0»,廿二〳,ひのとのひつし,たつ,,　,くゑ日
«1856-2070»,«節中»,大暑六月中今暁八時七分日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1856-2080»,«暦日2»,廿三〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1856-2090»,«暦日0»,廿四〳,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
«1856-2100»,«暦日2»,廿五〳,かのえいぬ,たいら,金,中伏,大みやう 天おん 大くわ 地火
«1856-2110»,«暦日0»,廿六〳,かのとのい,さたん,,　,大みやう 天おん ちう日
«1856-2120»,«暦日2»,廿七〳,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
«1856-2130»,«暦日0»,廿八〳,みつのとのうし,やふる,,ま日,十し
«1856-2140»,«暦日2»,廿九〳,きのえとら,あやふ,水,　,母倉 月とく わうまう  やたて  つめとりよし
«1856-2150»,«暦日0»,卅〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1856-2160»,«月序»,七月,小,建,丙申,虛宿　鬼　金よう
«1856-2170»,«暦日2»,一〳,ひのえたつ,おさん,土,ま日,きしく 大みやう めつもん  けんふくよし
«1856-2180»,«暦日0»,二〳,ひのとのみ,ひらく,,　,さい下しき くゑ日 ちう日
«1856-2190»,«暦日2»,三〳,つちのえむま,とつ,火,ま日,●
«1856-2200»,«暦日0»,四〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1856-2210»,«暦日2»,五〳,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
«1856-2220»,«暦日0»,六〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1856-2230»,«暦日1»,七〳,みつのえいぬ,みつ,水,ま日,母倉 月とく
«1856-2240»,«節中»,立秋七月せつ夕七時七分ニ入日の出より日入まて,昼五十六刻半|夜四十三刻半,六より六まて,昼六十二刻|夜三十八刻
«1856-2250»,«暦日1»,八〳,みつのとのい,たいら,水,八せんのおはり,ちう日 めつもん 地火
«1856-2260»,«暦日2»,九〳,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
«1856-2270»,«暦日0»,十〳,きのとのうし,とる,,　,●
«1856-2280»,«暦日2»,十一〳,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
«1856-2290»,«暦日0»,十二〳,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
«1856-2300»,«暦日2»,十三〳,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
«1856-2310»,«暦日0»,十四〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1856-2320»,«暦日2»,十五〳,かのえむま,ひらく,土,末伏,ふく日 天火 らうしやく わうまう
«1856-2330»,«暦日0»,十六〳,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
«1856-2340»,«暦日2»,十七〳,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
«1856-2350»,«暦日0»,十八〳,みつのとのとり,のそく,,　,十し
«1856-2360»,«暦日2»,十九〳,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
«1856-2370»,«暦日0»,廿〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1856-2380»,«暦日2»,廿一〳,ひのえね,さたん,水,　, 田かりよし
«1856-2390»,«暦日0»,廿二〳,ひのとのうし,とる,,　,●
«1856-2400»,«暦日1»,廿三〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1856-2410»,«節中»,処暑七月中朝五時八分日の出より日入まて,昼五十四刻半|夜四十五刻半,六より六まて,昼五十九刻半余|夜四十刻余
«1856-2420»,«暦日1»,廿四〳,つちのとのう,あやふ,土,　,神よし 大みやう 天おん  みそすつくりよし
«1856-2430»,«暦日2»,廿五〳,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
«1856-2440»,«暦日0»,廿六〳,かのとのみ,おさん,,　,天おん 大くわ ちう日
«1856-2450»,«暦日2»,廿七〳,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
«1856-2460»,«暦日0»,廿八〳,みつのとのひつし,とつ,,　,天おん 母倉
«1856-2470»,«暦日1»,廿九〳,きのえさる,たつ,水,十方くれニ入,神よし きしく 大みやう ふく日 下しきみの時
«1856-2480»,«月序»,八月,大,建,丁酉,危宿　柳　土よう
«1856-2490»,«暦日1»,一〳,きのとのとり,のそく,水,　,十し
«1856-2500»,«暦日2»,二〳,ひのえいぬ,みつ,土,二百十日,母倉 五む日
«1856-2510»,«暦日0»,三〳,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
«1856-2520»,«暦日2»,四〳,つちのえね,さたん,火,　, けんふく くさかりよし
«1856-2530»,«暦日0»,五〳,つちのとのうし,とる,,　,●
«1856-2540»,«暦日2»,六〳,かのえとら,やふる,木,　,ふく日  つめとりよし
«1856-2550»,«暦日0»,七〳,かのとのう,あやふ,,　,神よし
«1856-2560»,«暦日2»,八〳,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
«1856-2570»,«暦日0»,九〳,みつのとのみ,なる,,天一天上,十し
«1856-2580»,«節中»,白露八月せつ夜五時三分ニ入日の出より日入まて,昼五十二刻余|夜四十七刻半余,六より六まて,昼五十七刻半|夜四十二刻半
